emp_no,first_name,last_name,from_date,title,salary
10001,Georgi,Facello,1986-06-26,Senior Engineer,60117
10004,Chirstian,Koblick,1995-12-01,Senior Engineer,40054
10009,Sumant,Peac,1995-02-18,Senior Engineer,60929
10018,Kazuhide,Peha,1995-04-03,Senior Engineer,55881
10035,Alain,Chappelet,1996-09-05,Senior Engineer,41538
10053,Sanjiv,Zschoche,1994-11-13,Senior Staff,67854
10058,Berhard,McFarlin,1988-04-25,Senior Staff,52787
10066,Kwee,Schusler,1998-02-25,Senior Engineer,69736
10067,Claudi,Stavenow,1996-03-03,Senior Engineer,44642
10070,Reuven,Garigliano,1985-10-14,Technique Leader,55999
10072,Hironoby,Sidou,1995-05-21,Senior Engineer,40000
10076,Erez,Ritzmann,1996-07-15,Senior Engineer,47319
10088,Jungsoon,Syrzycki,1993-09-02,Senior Staff,65957
10100,Hironobu,Haraldson,1994-09-21,Senior Staff,54398
10103,Akemi,Birch,1998-01-12,Engineer,68158
10108,Lunjin,Giveon,1999-03-20,Staff,40000
10116,Dayanand,Czap,1994-02-27,Senior Engineer,44034
10126,Kayoko,Valtorta,1991-09-08,Senior Staff,40000
10129,Armond,Peir,1996-01-16,Technique Leader,40000
10130,Nishit,Casperson,1988-06-21,Senior Engineer,40000
10134,Diederik,Siprelle,1994-12-12,Senior Engineer,40000
10138,Perry,Shimshoni,2001-03-03,Senior Engineer,53574
10149,Xiadong,Perry,1994-01-28,Staff,88740
10150,Zhenbing,Perng,1995-11-16,Senior Engineer,70122
10152,Jaques,Munro,1986-01-27,Engineer,40000
10153,Heekeun,Majewski,2000-01-08,Assistant Engineer,54246
10157,Nigel,Aloisi,1997-12-10,Senior Engineer,48770
10161,Hairong,Mellouli,1991-06-09,Engineer,43149
10186,Shigehito,Kropatsch,1996-12-25,Staff,40000
10198,Pranav,Furedi,1993-08-31,Senior Engineer,44076
10215,Xiaobin,Duclos,1991-11-23,Senior Staff,43944
10217,Yongmin,Roison,1986-05-12,Technique Leader,40000
10224,Leon,Trogemann,1996-01-09,Senior Engineer,40000
10229,Ulises,Takanami,1996-02-20,Engineer,58321
